from,to,weight,year,neighbor
GB,CH,8,1991,2
IL,CH,8,1991,2
AT,CH,8,1991,1
SE,CH,8,1991,2
CY,CH,8,1991,2
GR,CH,7,1991,2
DE,CH,6,1991,1
PT,CH,6,1991,2
DK,CH,5,1991,2
FI,CH,5,1991,2
IS,CH,5,1991,2
YU,CH,5,1991,2
FR,CH,4,1991,1
IT,CH,4,1991,1
NO,CH,3,1991,2
IE,CH,2,1991,2
TR,CH,2,1991,2
IE,MT,12,1991,2
SE,MT,12,1991,2
DE,MT,10,1991,2
IT,MT,10,1991,2
LU,MT,10,1991,2
GB,MT,7,1991,2
PT,MT,7,1991,2
TR,MT,7,1991,2
NO,MT,6,1991,2
CH,MT,6,1991,2
ES,MT,6,1991,2
BE,MT,4,1991,2
AT,MT,4,1991,2
FR,MT,2,1991,2
GR,MT,2,1991,2
YU,MT,1,1991,2
FI,IT,12,1991,2
PT,IT,12,1991,2
IE,IT,10,1991,2
NO,IT,10,1991,2
TR,IT,10,1991,2
FR,IT,8,1991,1
YU,IT,7,1991,1
ES,IT,7,1991,2
GR,IT,6,1991,2
IL,IT,3,1991,2
MT,IT,2,1991,2
CH,IT,2,1991,1
FR,PT,10,1991,2
ES,PT,10,1991,1
IS,PT,8,1991,2
FI,PT,7,1991,2
SE,PT,7,1991,2
TR,PT,5,1991,2
GR,PT,4,1991,2
CY,PT,4,1991,2
LU,PT,2,1991,2
NO,PT,2,1991,2
DK,PT,1,1991,2
IT,PT,1,1991,2
CH,PT,1,1991,2
FR,CY,12,1991,2
GR,CY,12,1991,2
MT,CY,12,1991,2
IL,CY,6,1991,2
IE,CY,5,1991,2
LU,CY,4,1991,2
IS,CY,3,1991,2
PT,CY,3,1991,2
YU,CY,2,1991,2
DE,CY,1,1991,2
LU,IE,8,1991,2
DK,IE,7,1991,2
BE,IE,5,1991,2
GB,IE,4,1991,1
MT,IE,4,1991,2
TR,IE,4,1991,2
IT,IE,3,1991,2
YU,IE,3,1991,2
CH,IE,3,1991,2
DE,IE,2,1991,2
FI,IE,2,1991,2
IL,IE,1,1991,2
AT,IE,1,1991,2
MT,GB,10,1991,2
IT,GB,6,1991,2
AT,GB,6,1991,2
IL,GB,5,1991,2
CH,GB,5,1991,2
BE,GB,3,1991,2
DK,GB,3,1991,2
GR,GB,3,1991,2
LU,GB,3,1991,2
FR,GB,1,1991,2
PT,GB,1,1991,2
CY,GB,1,1991,2
DK,TR,8,1991,2
IT,TR,8,1991,2
FR,TR,7,1991,2
IL,TR,7,1991,2
MT,TR,7,1991,2
GB,TR,5,1991,2
ES,TR,2,1991,2
CY,GR,10,1991,2
MT,GR,5,1991,2
ES,GR,5,1991,2
IL,GR,4,1991,2
YU,GR,4,1991,1
IT,GR,2,1991,2
AT,GR,2,1991,2
BE,GR,1,1991,2
FI,GR,1,1991,2
IE,GR,1,1991,2
NO,GR,1,1991,2
AT,LU,5,1991,2
DK,LU,4,1991,2
IS,LU,4,1991,2
DE,LU,3,1991,1
GB,LU,3,1991,2
TR,LU,3,1991,2
BE,LU,2,1991,1
PT,LU,2,1991,2
CY,LU,2,1991,2
SE,LU,1,1991,2
SE,IS,10,1991,2
IT,IS,7,1991,2
DE,IS,5,1991,2
CH,IS,4,1991,2
FR,BE,5,1991,1
IT,BE,5,1991,2
FI,BE,3,1991,2
AT,BE,3,1991,2
ES,BE,3,1991,2
GB,BE,2,1991,2
SE,BE,2,1991,2
IS,NO,6,1991,2
DE,NO,4,1991,2
DK,NO,2,1991,1
LU,NO,1,1991,2
TR,NO,1,1991,2
DK,DE,6,1991,1
CY,DE,3,1991,2
ES,DE,1,1991,2
NO,DK,5,1991,1
SE,DK,3,1991,1
IE,FI,4,1991,2
GR,FI,1,1991,2
IS,FI,1,1991,2
MT,YU,1,1991,2
IE,IT,12,1990,2
ES,IT,12,1990,2
CY,IT,12,1990,2
GR,IT,10,1990,2
LU,IT,10,1990,2
PT,IT,10,1990,2
SE,IT,10,1990,2
BE,IT,8,1990,2
FI,IT,8,1990,2
NL,IT,8,1990,2
CH,IT,8,1990,1
TR,IT,8,1990,2
AT,IT,7,1990,1
DK,IT,6,1990,2
DE,IT,6,1990,2
YU,IT,6,1990,1
FR,IT,4,1990,1
IS,IT,3,1990,2
